symbol,method,source,planned_quarters
SH600000,query_profit_data,baostock,54
SH600000,query_growth_data,baostock,54
SH600001,query_profit_data,baostock,12
SH600001,query_growth_data,baostock,12
SH600003,query_profit_data,baostock,4
SH600003,query_growth_data,baostock,4
SH600004,query_profit_data,baostock,54
SH600004,query_growth_data,baostock,54
SH600005,query_profit_data,baostock,40
SH600005,query_growth_data,baostock,40
SH600006,query_profit_data,baostock,18
SH600006,query_growth_data,baostock,18
SH600007,query_profit_data,baostock,10
SH600007,query_growth_data,baostock,10
SH600008,query_profit_data,baostock,47
SH600008,query_growth_data,baostock,47
SH600009,query_profit_data,baostock,54
SH600009,query_growth_data,baostock,54
SH600010,query_profit_data,baostock,54
SH600010,query_growth_data,baostock,54
SH600011,query_profit_data,baostock,54
SH600011,query_growth_data,baostock,54
SH600012,query_profit_data,baostock,8
SH600012,query_growth_data,baostock,8
SH600015,query_profit_data,baostock,54
SH600015,query_growth_data,baostock,54
SH600016,query_profit_data,baostock,54
SH600016,query_growth_data,baostock,54
SH600017,query_profit_data,baostock,18
SH600017,query_growth_data,baostock,18
SH600018,query_profit_data,baostock,54
SH600018,query_growth_data,baostock,54
SH600019,query_profit_data,baostock,54
SH600019,query_growth_data,baostock,54
SH600020,query_profit_data,baostock,10
SH600020,query_growth_data,baostock,10
SH600021,query_profit_data,baostock,45
SH600021,query_growth_data,baostock,45
SH600022,query_profit_data,baostock,39
SH600022,query_growth_data,baostock,39
SH600023,query_profit_data,baostock,30
SH600023,query_growth_data,baostock,30
SH600025,query_profit_data,baostock,15
SH600025,query_growth_data,baostock,15
SH600026,query_profit_data,baostock,21
SH600026,query_growth_data,baostock,21
SH600027,query_profit_data,baostock,54
SH600027,query_growth_data,baostock,54
SH600028,query_profit_data,baostock,54
SH600028,query_growth_data,baostock,54
SH600029,query_profit_data,baostock,54
SH600029,query_growth_data,baostock,54
SH600030,query_profit_data,baostock,54
SH600030,query_growth_data,baostock,54
SH600031,query_profit_data,baostock,54
SH600031,query_growth_data,baostock,54
SH600033,query_profit_data,baostock,18
SH600033,query_growth_data,baostock,18
SH600035,query_profit_data,baostock,6
SH600035,query_growth_data,baostock,6
SH600036,query_profit_data,baostock,54
SH600036,query_growth_data,baostock,54
SH600037,query_profit_data,baostock,43
SH600037,query_growth_data,baostock,43
SH600038,query_profit_data,baostock,29
SH600038,query_growth_data,baostock,29
SH600048,query_profit_data,baostock,54
SH600048,query_growth_data,baostock,54
SH600050,query_profit_data,baostock,54
SH600050,query_growth_data,baostock,54
SH600058,query_profit_data,baostock,33
SH600058,query_growth_data,baostock,33
SH600060,query_profit_data,baostock,43
SH600060,query_growth_data,baostock,43
SH600061,query_profit_data,baostock,23
SH600061,query_growth_data,baostock,23
SH600062,query_profit_data,baostock,31
SH600062,query_growth_data,baostock,31
SH600066,query_profit_data,baostock,54
SH600066,query_growth_data,baostock,54
SH600068,query_profit_data,baostock,54
SH600068,query_growth_data,baostock,54
SH600074,query_profit_data,baostock,14
SH600074,query_growth_data,baostock,14
SH600078,query_profit_data,baostock,4
SH600078,query_growth_data,baostock,4
SH600079,query_profit_data,baostock,12
SH600079,query_growth_data,baostock,12
SH600085,query_profit_data,baostock,54
SH600085,query_growth_data,baostock,54
SH600087,query_profit_data,baostock,18
SH600087,query_growth_data,baostock,18
SH600088,query_profit_data,baostock,6
SH600088,query_growth_data,baostock,6
SH600089,query_profit_data,baostock,54
SH600089,query_growth_data,baostock,54
SH600096,query_profit_data,baostock,31
SH600096,query_growth_data,baostock,31
SH600098,query_profit_data,baostock,39
SH600098,query_growth_data,baostock,39
SH600100,query_profit_data,baostock,53
SH600100,query_growth_data,baostock,53
SH600102,query_profit_data,baostock,16
SH600102,query_growth_data,baostock,16
SH600104,query_profit_data,baostock,54
SH600104,query_growth_data,baostock,54
SH600108,query_profit_data,baostock,35
SH600108,query_growth_data,baostock,35
SH600109,query_profit_data,baostock,54
SH600109,query_growth_data,baostock,54
SH600110,query_profit_data,baostock,12
SH600110,query_growth_data,baostock,12
SH600111,query_profit_data,baostock,54
SH600111,query_growth_data,baostock,54
SH600115,query_profit_data,baostock,54
SH600115,query_growth_data,baostock,54
SH600117,query_profit_data,baostock,12
SH600117,query_growth_data,baostock,12
SH600118,query_profit_data,baostock,54
SH600118,query_growth_data,baostock,54
SH600123,query_profit_data,baostock,31
SH600123,query_growth_data,baostock,31
SH600125,query_profit_data,baostock,27
SH600125,query_growth_data,baostock,27
SH600132,query_profit_data,baostock,27
SH600132,query_growth_data,baostock,27
SH600143,query_profit_data,baostock,33
SH600143,query_growth_data,baostock,33
SH600150,query_profit_data,baostock,43
SH600150,query_growth_data,baostock,43
SH600151,query_profit_data,baostock,21
SH600151,query_growth_data,baostock,21
SH600153,query_profit_data,baostock,53
SH600153,query_growth_data,baostock,53
SH600157,query_profit_data,baostock,31
SH600157,query_growth_data,baostock,31
SH600158,query_profit_data,baostock,14
SH600158,query_growth_data,baostock,14
SH600160,query_profit_data,baostock,29
SH600160,query_growth_data,baostock,29
SH600161,query_profit_data,baostock,21
SH600161,query_growth_data,baostock,21
SH600166,query_profit_data,baostock,31
SH600166,query_growth_data,baostock,31
SH600169,query_profit_data,baostock,27
SH600169,query_growth_data,baostock,27
SH600170,query_profit_data,baostock,54
SH600170,query_growth_data,baostock,54
SH600171,query_profit_data,baostock,4
SH600171,query_growth_data,baostock,4
SH600176,query_profit_data,baostock,50
SH600176,query_growth_data,baostock,50
SH600177,query_profit_data,baostock,54
SH600177,query_growth_data,baostock,54
SH600183,query_profit_data,baostock,54
SH600183,query_growth_data,baostock,54
SH600188,query_profit_data,baostock,54
SH600188,query_growth_data,baostock,54
SH600190,query_profit_data,baostock,6
SH600190,query_growth_data,baostock,6
SH600196,query_profit_data,baostock,54
SH600196,query_growth_data,baostock,54
SH600208,query_profit_data,baostock,54
SH600208,query_growth_data,baostock,54
SH600210,query_profit_data,baostock,18
SH600210,query_growth_data,baostock,18
SH600216,query_profit_data,baostock,27
SH600216,query_growth_data,baostock,27
SH600219,query_profit_data,baostock,54
SH600219,query_growth_data,baostock,54
SH600220,query_profit_data,baostock,20
SH600220,query_growth_data,baostock,20
SH600221,query_profit_data,baostock,54
SH600221,query_growth_data,baostock,54
SH600233,query_profit_data,baostock,19
SH600233,query_growth_data,baostock,19
SH600236,query_profit_data,baostock,16
SH600236,query_growth_data,baostock,16
SH600239,query_profit_data,baostock,14
SH600239,query_growth_data,baostock,14
SH600246,query_profit_data,baostock,10
SH600246,query_growth_data,baostock,10
SH600251,query_profit_data,baostock,14
SH600251,query_growth_data,baostock,14
SH600252,query_profit_data,baostock,27
SH600252,query_growth_data,baostock,27
SH600256,query_profit_data,baostock,43
SH600256,query_growth_data,baostock,43
SH600259,query_profit_data,baostock,17
SH600259,query_growth_data,baostock,17
SH600266,query_profit_data,baostock,29
SH600266,query_growth_data,baostock,29
SH600267,query_profit_data,baostock,22
SH600267,query_growth_data,baostock,22
SH600269,query_profit_data,baostock,20
SH600269,query_growth_data,baostock,20
SH600270,query_profit_data,baostock,14
SH600270,query_growth_data,baostock,14
SH600271,query_profit_data,baostock,54
SH600271,query_growth_data,baostock,54
SH600276,query_profit_data,baostock,50
SH600276,query_growth_data,baostock,50
SH600277,query_profit_data,baostock,12
SH600277,query_growth_data,baostock,12
SH600282,query_profit_data,baostock,16
SH600282,query_growth_data,baostock,16
SH600297,query_profit_data,baostock,21
SH600297,query_growth_data,baostock,21
SH600299,query_profit_data,baostock,54
SH600299,query_growth_data,baostock,54
SH600300,query_profit_data,baostock,12
SH600300,query_growth_data,baostock,12
SH600307,query_profit_data,baostock,24
SH600307,query_growth_data,baostock,24
SH600308,query_profit_data,baostock,12
SH600308,query_growth_data,baostock,12
SH600309,query_profit_data,baostock,54
SH600309,query_growth_data,baostock,54
SH600312,query_profit_data,baostock,20
SH600312,query_growth_data,baostock,20
SH600315,query_profit_data,baostock,22
SH600315,query_growth_data,baostock,22
SH600316,query_profit_data,baostock,35
SH600316,query_growth_data,baostock,35
SH600317,query_profit_data,baostock,12
SH600317,query_growth_data,baostock,12
SH600320,query_profit_data,baostock,24
SH600320,query_growth_data,baostock,24
SH600325,query_profit_data,baostock,18
SH600325,query_growth_data,baostock,18
SH600331,query_profit_data,baostock,25
SH600331,query_growth_data,baostock,25
SH600332,query_profit_data,baostock,35
SH600332,query_growth_data,baostock,35
SH600339,query_profit_data,baostock,12
SH600339,query_growth_data,baostock,12
SH600340,query_profit_data,baostock,36
SH600340,query_growth_data,baostock,36
SH600346,query_profit_data,baostock,15
SH600346,query_growth_data,baostock,15
SH600348,query_profit_data,baostock,35
SH600348,query_growth_data,baostock,35
SH600350,query_profit_data,baostock,37
SH600350,query_growth_data,baostock,37
SH600352,query_profit_data,baostock,50
SH600352,query_growth_data,baostock,50
SH600357,query_profit_data,baostock,12
SH600357,query_growth_data,baostock,12
SH600361,query_profit_data,baostock,4
SH600361,query_growth_data,baostock,4
SH600362,query_profit_data,baostock,54
SH600362,query_growth_data,baostock,54
SH600369,query_profit_data,baostock,48
SH600369,query_growth_data,baostock,48
SH600372,query_profit_data,baostock,40
SH600372,query_growth_data,baostock,40
SH600373,query_profit_data,baostock,22
SH600373,query_growth_data,baostock,22
